codigo_ibge,referencia,ano,mes,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
130083,202312,2023,12,2727,1936155.0,716.56,709.994499449945
130090,202312,2023,12,3460,2293659.0,672.43,662.907225433526
130100,202312,2023,12,6586,4960100.0,753.36,753.1278469480717
130110,202312,2023,12,6133,4258409.0,702.24,694.3435512799608
130115,202312,2023,12,4307,2828332.0,673.57,656.6826097051312
130120,202312,2023,12,14810,11091365.0,752.06,748.9105334233626
130130,202312,2023,12,4354,3152982.0,728.17,724.1575562700965
130140,202312,2023,12,6742,5278650.0,784.0,782.9501631563335
130150,202312,2023,12,4023,2896864.0,720.43,720.0755654983843
130160,202312,2023,12,5766,4103523.0,724.11,711.6758584807492
130165,202312,2023,12,3499,2509396.0,730.75,717.1751929122606
130170,202312,2023,12,9980,7218324.0,724.66,723.2789579158317
130180,202312,2023,12,4762,3436834.0,725.99,721.7207055858883
130185,202312,2023,12,14292,10080523.0,707.01,705.3262664427651
130190,202312,2023,12,17237,12832227.0,745.93,744.458258397633
130195,202312,2023,12,2221,1839808.0,832.49,828.369203061684
130200,202312,2023,12,2208,1539584.0,698.22,697.2753623188406
130210,202312,2023,12,1531,1193827.0,781.3,779.7694317439582
130220,202312,2023,12,2437,1774818.0,731.28,728.2798522773902
130230,202312,2023,12,4915,3943531.0,826.91,802.3460834181078
130240,202312,2023,12,12869,8976447.0,698.72,697.5248271038931
130250,202312,2023,12,20353,14335228.0,711.81,704.3299759249251
130255,202312,2023,12,3942,2741879.0,698.39,695.5553018772197
130260,202312,2023,12,275799,193596379.0,702.76,701.9473565894002
130270,202312,2023,12,8395,6346923.0,756.67,756.0360929124479
130280,202312,2023,12,3697,2861030.0,780.42,773.8788206654044
130290,202312,2023,12,14230,10912793.0,768.13,766.8863668306395
130300,202312,2023,12,4619,3327193.0,721.26,720.327560077939
130310,202312,2023,12,6436,4788912.0,744.78,744.0820385332505
130320,202312,2023,12,2697,1966133.0,735.28,729.0074156470153
130330,202312,2023,12,3791,2825532.0,746.71,745.3262991295172
130340,202312,2023,12,21097,15707557.0,745.71,744.5398397876476
130350,202312,2023,12,3634,2905224.0,799.46,799.4562465602642
130353,202312,2023,12,5136,3764841.0,733.74,733.0297897196261
130356,202312,2023,12,4173,3023306.0,728.86,724.4922118380063
130360,202312,2023,12,2463,1983697.0,805.73,805.398700771417
130370,202312,2023,12,4411,3657694.0,838.54,829.2210383133076
130380,202312,2023,12,8358,7136188.0,854.63,853.8152668102417
130390,202312,2023,12,7148,5602920.0,800.76,783.8444320089535
130395,202312,2023,12,2191,1599000.0,731.14,729.8037425832953
130400,202312,2023,12,2375,1757902.0,741.11,740.1692631578948
130406,202312,2023,12,10279,8296003.0,808.58,807.0826928689561
130410,202312,2023,12,3909,2574388.0,679.62,658.5796878997186
130420,202312,2023,12,12150,9593385.0,793.17,789.579012345679
130423,202312,2023,12,4038,3161816.0,785.35,783.0153541357107
130426,202312,2023,12,3015,2422339.0,804.76,803.4291873963516
130430,202312,2023,12,4223,2906632.0,689.76,688.2860525692636
130440,202312,2023,12,4883,3449265.0,711.04,706.3823469178784
140002,202312,2023,12,1983,1539543.0,777.94,776.3706505295007
140005,202312,2023,12,2691,2059046.0,766.3,765.1601635079896
140010,202312,2023,12,33783,24659045.0,730.9,729.924666252257
140015,202312,2023,12,4462,3320989.0,745.45,744.2826086956521
140017,202312,2023,12,4164,3099654.0,747.99,744.393371757925
140020,202312,2023,12,4040,2729311.0,701.44,675.5720297029703
140023,202312,2023,12,2135,1553005.0,732.55,727.4028103044496
140028,202312,2023,12,1527,1084952.0,717.09,710.5121152586771
140030,202312,2023,12,4589,3180482.0,699.62,693.0664632817608
140040,202312,2023,12,2993,2669913.0,894.74,892.0524557300367
140045,202312,2023,12,2795,2416060.0,864.42,864.4221824686941
140047,202312,2023,12,4364,3032609.0,707.4,694.9149862511457
140050,202312,2023,12,1421,997519.0,708.47,701.9838142153413
140060,202312,2023,12,1602,1131698.0,713.11,706.4282147315855
140070,202312,2023,12,2179,2083115.0,956.0,955.995869664984
150010,202312,2023,12,39806,25791188.0,655.8,647.9221222931217
150013,202312,2023,12,1589,1112977.0,700.43,700.4260541220893
150020,202312,2023,12,13787,9481326.0,699.63,687.7004424457823
150030,202312,2023,12,8715,6383768.0,757.9,732.5034997131382
150034,202312,2023,12,2956,2002653.0,677.49,677.4874830852503
150040,202312,2023,12,13367,9819750.0,734.9,734.6263185456722
150050,202312,2023,12,7324,5199826.0,730.62,709.9707809939923
150060,202312,2023,12,15993,11318387.0,708.11,707.7088101044206
150070,202312,2023,12,7566,4953014.0,759.2,654.6410256410256
150080,202312,2023,12,48138,32119874.0,670.02,667.2457102496987
150085,202312,2023,12,7286,5265319.0,722.96,722.662503431238
150090,202312,2023,12,11651,8359606.0,720.03,717.5011586988242
150095,202312,2023,12,6024,4268558.0,708.95,708.5919654714476
150100,202312,2023,12,2754,2099342.0,762.29,762.2883079157589
150110,202312,2023,12,5014,3275335.0,697.03,653.2379337854009
150120,202312,2023,12,7617,4202025.0,584.83,551.6640409610083
150125,202312,2023,12,569,390367.0,686.06,686.0579964850615
150130,202312,2023,12,18529,12690237.0,693.95,684.8851530034001
150140,202312,2023,12,192255,125441548.0,657.91,652.4748277027905
150145,202312,2023,12,2636,1939240.0,739.6,735.6752655538695
150150,202312,2023,12,12158,8101138.0,668.91,666.3215989471953
150157,202312,2023,12,2415,1721081.0,712.96,712.6629399585921
150160,202312,2023,12,3464,2334531.0,674.14,673.9408198614319
150170,202312,2023,12,23122,16359306.0,710.1,707.5212351872675
150172,202312,2023,12,3897,2755432.0,707.61,707.0649217346677
150175,202312,2023,12,1550,1089704.0,703.49,703.0348387096774
150178,202312,2023,12,9065,6007094.0,676.47,662.6689464975179
150180,202312,2023,12,23192,16612262.0,769.26,716.2927733701276
150190,202312,2023,12,7257,5040237.0,701.4,694.5345183960314
150195,202312,2023,12,5094,3516014.0,704.05,690.2265410286611
150200,202312,2023,12,5430,2840820.0,593.07,523.171270718232
150210,202312,2023,12,30317,17591841.0,617.41,580.2632516409935
150215,202312,2023,12,7300,5097500.0,700.4,698.2876712328767
150220,202312,2023,12,11195,7634956.0,682.85,681.9969629298794
150230,202312,2023,12,12185,8408855.0,690.67,690.0988920804267
150240,202312,2023,12,23059,15471083.0,671.81,670.9346892753372
150250,202312,2023,12,4645,3108481.0,727.64,669.2101184068891
150260,202312,2023,12,2769,1788869.0,677.86,646.0343084145901
150270,202312,2023,12,3998,2739152.0,685.65,685.1305652826413
150275,202312,2023,12,7280,5168075.0,710.88,709.9004120879121
150276,202312,2023,12,1797,1308863.0,728.77,728.3600445186422
150277,202312,2023,12,3675,2575261.0,700.94,700.7512925170068
150280,202312,2023,12,7422,3941196.0,661.94,531.0153597413096
150285,202312,2023,12,3030,1946271.0,670.43,642.3336633663366
150290,202312,2023,12,10595,7220678.0,687.23,681.5175082586126
150293,202312,2023,12,6464,4390600.0,680.5,679.2388613861386
150295,202312,2023,12,3769,2739734.0,727.68,726.9127089413638
150300,202312,2023,12,2858,1997908.0,699.79,699.0580825752274
150304,202312,2023,12,3393,2371777.0,699.23,699.0206307102859
150307,202312,2023,12,5168,3670720.0,710.55,710.2786377708978
150309,202312,2023,12,4372,2984242.0,687.77,682.5805123513267
150310,202312,2023,12,7434,4925773.0,726.73,662.6006187785849
150320,202312,2023,12,7555,5078813.0,677.18,672.2452680344143
150330,202312,2023,12,13348,8620586.0,668.88,645.8335331135751
150340,202312,2023,12,2002,1405687.0,703.9,702.1413586413587
150345,202312,2023,12,7905,5749074.0,727.92,727.2705882352941
150350,202312,2023,12,7520,5242330.0,697.77,697.1183510638298
150360,202312,2023,12,18035,13006624.0,721.51,721.18791239257
150370,202312,2023,12,8647,6282484.0,728.66,726.550711229328
