codigo_ibge,ano,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
432030,2025,125,861127.0,578.5,572.39
432032,2025,111,881494.0,660.25,659.7
432035,2025,397,3197823.0,672.46,671.36
432040,2025,258,2005497.0,650.87,647.32
432045,2025,44,280509.0,525.56,525.56
432050,2025,223,1727088.0,649.79,644.8
432055,2025,364,2950373.0,678.38,675.28
432057,2025,83,619084.0,625.56,621.96
432060,2025,52,429497.0,690.17,688.93
432065,2025,130,992181.0,651.31,634.29
432067,2025,546,4150352.0,635.09,631.72
432070,2025,662,5199535.0,657.92,654.71
432080,2025,2038,16205961.0,667.29,662.74
432085,2025,235,1971203.0,705.03,697.45
432090,2025,730,5608119.0,646.98,639.17
432100,2025,138,995886.0,603.54,601.51
432110,2025,930,7351408.0,662.76,658.76
432120,2025,2092,16852649.0,676.66,670.37
432130,2025,1547,12589218.0,680.31,678.2
432132,2025,92,728581.0,661.43,660.7
432135,2025,387,3170699.0,691.12,682.73
432140,2025,1414,11547531.0,683.93,680.5
432143,2025,827,6586097.0,669.49,662.56
432145,2025,580,4438529.0,643.47,636.27
432146,2025,51,385651.0,636.43,632.87
432147,2025,137,1129963.0,690.32,686.84
432149,2025,132,1042876.0,658.48,656.15
432150,2025,2393,19365574.0,679.32,674.56
432160,2025,3776,31237700.0,695.73,689.29
432162,2025,13,93908.0,604.02,591.05
432163,2025,7,56175.0,654.46,654.46
432166,2025,262,2015523.0,646.29,640.9
432170,2025,536,4301132.0,677.6,668.06
432180,2025,981,7443347.0,637.05,632.15
432183,2025,268,2150129.0,676.61,669.17
432185,2025,326,2683762.0,691.04,686.3
432190,2025,1121,8994444.0,672.91,668.72
432195,2025,263,2055162.0,654.52,649.44
432200,2025,1942,15533302.0,672.13,666.42
432210,2025,177,1349088.0,648.61,633.51
432215,2025,336,2634862.0,654.43,653.51
432218,2025,57,422095.0,623.54,621.14
432220,2025,1986,15939385.0,672.45,669.04
432225,2025,70,527233.0,634.42,629.97
432230,2025,187,1476688.0,661.94,657.33
432232,2025,170,1318438.0,649.68,644.29
432234,2025,60,470721.0,657.75,654.75
432235,2025,21,154749.0,626.18,623.0
432237,2025,212,1650728.0,651.81,647.81
432240,2025,9027,73209623.0,683.95,675.54
432250,2025,4150,33481174.0,679.2,672.33
432252,2025,187,1453784.0,653.38,648.6
432253,2025,539,4074314.0,632.74,629.71
432254,2025,56,434279.0,653.78,647.26
432255,2025,31,240183.0,647.07,645.28
432260,2025,2848,22355894.0,659.23,653.63
432270,2025,1412,11052679.0,655.76,651.04
432280,2025,208,1502258.0,609.76,600.07
432285,2025,12,101312.0,726.59,706.22
432290,2025,128,1036138.0,680.14,673.54
432300,2025,17847,143354102.0,675.22,669.2
432310,2025,648,5204545.0,673.28,669.05
432320,2025,48,364657.0,640.25,629.9
432330,2025,26,208847.0,659.16,654.15
432335,2025,17,107899.0,543.15,539.88
432340,2025,80,651480.0,689.48,682.05
432345,2025,744,5784041.0,649.82,647.69
432350,2025,88,701629.0,667.27,667.27
432360,2025,16,132539.0,682.38,682.37
432370,2025,112,842532.0,631.1,628.34
432375,2025,200,1524909.0,638.66,637.17
432377,2025,21,157660.0,638.02,638.02
432380,2025,702,5595283.0,670.7,664.88
500020,2025,1491,12349291.0,696.1,689.78
500025,2025,430,3502364.0,678.54,678.14
500060,2025,5612,45919166.0,682.54,681.86
500070,2025,2279,18385616.0,676.07,672.19
500080,2025,552,4480523.0,677.31,676.57
500085,2025,827,6757182.0,683.89,681.16
500090,2025,788,6482267.0,685.74,685.59
500100,2025,1856,14735828.0,663.25,661.81
500110,2025,5403,45191249.0,698.19,697.21
500124,2025,1506,12411191.0,687.12,686.74
500150,2025,758,6308462.0,694.36,694.28
500190,2025,1640,12670588.0,644.39,643.79
500200,2025,941,7571960.0,672.92,671.13
500210,2025,2794,23305219.0,695.5,695.28
500215,2025,708,5900115.0,696.5,694.56
500220,2025,1712,13782463.0,673.74,671.22
500230,2025,1044,8271529.0,662.9,660.54
500240,2025,1859,14594252.0,658.56,654.14
500260,2025,1205,9801093.0,678.67,677.89
500270,2025,49084,397968346.0,677.12,676.36
500280,2025,646,5183911.0,667.62,667.52
500290,2025,1084,8461808.0,654.92,650.61
500295,2025,1516,11836602.0,652.33,650.66
500310,2025,322,2587852.0,673.81,669.01
500315,2025,3348,28465285.0,710.54,708.63
500320,2025,9615,82652008.0,720.85,716.58
500325,2025,2655,22213612.0,697.63,697.28
500330,2025,2652,21445523.0,674.47,674.2
500345,2025,708,5353027.0,631.69,630.56
500348,2025,1436,11781524.0,685.11,684.05
500350,2025,429,3501294.0,680.31,680.17
500370,2025,12919,106647915.0,690.35,688.59
500375,2025,767,6093793.0,666.81,662.44
500380,2025,1027,7768057.0,632.68,630.84
500390,2025,288,2319267.0,672.12,672.12
500400,2025,560,4339442.0,646.39,646.08
500410,2025,967,7875832.0,679.1,678.43
500430,2025,1013,7749958.0,643.13,637.53
500440,2025,417,3415576.0,683.28,683.12
500450,2025,647,5446492.0,702.85,701.9
500460,2025,950,7145632.0,627.05,626.38
500470,2025,1114,8482183.0,635.13,634.56
500480,2025,1490,12889695.0,721.26,721.05
500490,2025,349,2899011.0,693.24,692.89
500500,2025,1258,10739033.0,712.24,711.92
500510,2025,316,2614534.0,690.98,690.38
500515,2025,748,6056482.0,682.32,675.08
500520,2025,1948,17058075.0,730.74,730.16
500525,2025,619,5119054.0,690.08,689.71
500540,2025,1815,15328973.0,704.73,704.55
500560,2025,4026,34462665.0,716.52,713.77
500568,2025,1791,14614736.0,680.58,680.25
500570,2025,3850,30443959.0,659.58,658.89
500580,2025,1476,11914278.0,672.95,672.36
500600,2025,1414,11475993.0,676.96,676.51
500620,2025,3444,27353403.0,663.17,662.08
500625,2025,219,1738191.0,662.67,660.78
500627,2025,209,1599321.0,640.37,638.86
500630,2025,2324,18200104.0,653.64,652.88
500635,2025,1944,18553101.0,804.96,795.28
500640,2025,807,6667966.0,688.34,688.34
500660,2025,9182,77592495.0,705.41,704.39
500690,2025,1458,12378538.0,707.7,707.41
500710,2025,1125,8556633.0,636.58,634.58
500720,2025,1833,14725892.0,670.65,669.54
500730,2025,334,2626671.0,656.39,656.21
500740,2025,1810,15066477.0,694.82,693.96
500750,2025,455,3739928.0,686.03,685.15
500755,2025,343,2629538.0,639.85,639.17
500769,2025,1236,9968133.0,673.57,671.87
500770,2025,580,4919262.0,707.23,706.82
500780,2025,369,2908783.0,660.64,656.33
500790,2025,3576,28494590.0,665.57,664.42
500793,2025,930,7543934.0,676.76,676.39
500795,2025,1602,12900187.0,674.8,670.94
500797,2025,320,2676223.0,698.36,697.61
500800,2025,1211,10004726.0,688.72,688.66
500830,2025,7396,59322517.0,670.32,668.5
500840,2025,474,3753967.0,661.35,660.45
510010,2025,803,6522210.0,677.72,677.48
510020,2025,918,7085619.0,659.26,643.38
510025,2025,3650,29388701.0,673.34,671.11
510030,2025,949,7802058.0,689.57,685.35
510035,2025,499,4543922.0,770.83,757.98
510040,2025,1048,8511331.0,678.36,677.11
510050,2025,1078,8624926.0,671.8,666.91
510060,2025,505,4100700.0,682.36,677.24
510080,2025,615,5151258.0,700.18,698.21
510100,2025,277,2278032.0,688.29,684.68
510120,2025,124,1028184.0,692.56,692.56
510125,2025,769,5853950.0,637.22,634.45
510130,2025,725,6066651.0,699.66,697.9
510140,2025,1655,14106697.0,714.3,709.95
510160,2025,1395,11397743.0,680.97,680.8
510170,2025,2506,20505185.0,688.43,682.11
510180,2025,5947,49671608.0,697.29,696.51
510183,2025,24,48405.0,1133.73,1133.73
510185,2025,728,6137237.0,704.15,702.36
510190,2025,894,7875889.0,742.44,734.43
510250,2025,8176,66750632.0,685.2,680.97
510260,2025,1794,19694050.0,915.85,914.59
510263,2025,997,7249425.0,610.81,607.12
510267,2025,1537,11975282.0,651.26,649.76
510268,2025,330,2432933.0,620.83,614.49
510269,2025,394,3335406.0,713.33,705.47
510270,2025,1063,8907164.0,704.08,699.19
510279,2025,482,3665397.0,637.05,633.99
510285,2025,474,3966012.0,696.72,696.59
510300,2025,2232,18442010.0,689.54,689.01
510305,2025,767,6458599.0,703.16,702.07
510310,2025,545,4263381.0,664.73,650.76
510320,2025,1354,10188544.0,629.86,627.05
510325,2025,1551,12386575.0,669.94,665.55
510330,2025,1796,15495054.0,722.41,719.02
510335,2025,2673,22120783.0,694.19,689.88
510336,2025,256,2247667.0,736.58,731.41
510337,2025,720,6026255.0,701.26,698.07
510340,2025,38981,314887741.0,679.28,673.5
510343,2025,505,4111505.0,682.36,678.55
510345,2025,641,5306427.0,689.88,689.61
510350,2025,913,7238334.0,663.05,661.42
510360,2025,760,6426966.0,706.18,705.05
510370,2025,1182,10540505.0,744.48,743.38
510380,2025,210,1809045.0,720.98,715.9
