codigo_ibge,referencia,ano,mes,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
130083,202512,2025,12,2665,1982490.0,761.32,743.8986866791745
130090,202512,2025,12,3466,2343715.0,683.3,676.2016733987306
130100,202512,2025,12,5781,4287385.0,760.58,741.633800380557
130110,202512,2025,12,5286,3840646.0,757.08,726.5694286795308
130115,202512,2025,12,4184,2996017.0,751.63,716.0652485659656
130120,202512,2025,12,14916,11222920.0,777.21,752.4081523196568
130130,202512,2025,12,4064,3092609.0,828.01,760.976624015748
130140,202512,2025,12,6468,4990076.0,791.57,771.5021645021645
130150,202512,2025,12,4004,2918506.0,739.61,728.8976023976024
130160,202512,2025,12,6581,4674251.0,723.46,710.2645494605683
130165,202512,2025,12,3071,2351152.0,788.71,765.5981764897427
130170,202512,2025,12,11277,8005951.0,733.82,709.936241908309
130180,202512,2025,12,4649,3463813.0,766.33,745.0662508066251
130185,202512,2025,12,14402,10098907.0,734.73,701.2155950562421
130190,202512,2025,12,16330,12007247.0,792.71,735.2876301285977
130195,202512,2025,12,2042,1751094.0,875.98,857.5386875612145
130200,202512,2025,12,1897,1346411.0,730.95,709.7580390089615
130210,202512,2025,12,1478,1137351.0,798.14,769.520297699594
130220,202512,2025,12,2457,1828791.0,755.07,744.3186813186813
130230,202512,2025,12,4619,3964421.0,877.08,858.2855596449448
130240,202512,2025,12,12386,8756987.0,738.55,707.0068625867915
130250,202512,2025,12,19969,14707204.0,763.1,736.5017777555211
130255,202512,2025,12,3804,2758432.0,752.23,725.1398527865405
130260,202512,2025,12,239390,167839738.0,759.25,701.1142403609173
130270,202512,2025,12,8498,6488096.0,805.57,763.4850553071311
130280,202512,2025,12,3064,2553234.0,865.8,833.3009138381201
130290,202512,2025,12,13751,10462222.0,791.93,760.8335393789542
130300,202512,2025,12,4192,3063760.0,748.17,730.8587786259542
130310,202512,2025,12,6033,4435700.0,760.58,735.2395159953588
130320,202512,2025,12,2379,1770803.0,772.26,744.3476250525431
130330,202512,2025,12,3856,2865401.0,762.68,743.1019190871369
130340,202512,2025,12,20905,15536574.0,772.04,743.1989476201866
130350,202512,2025,12,3398,2684344.0,805.87,789.9776339022955
130353,202512,2025,12,5260,3749321.0,757.44,712.798669201521
130356,202512,2025,12,3241,2365465.0,818.5,729.8565257636532
130360,202512,2025,12,2587,2046418.0,812.72,791.0390413606494
130370,202512,2025,12,3987,3496819.0,892.96,877.0551793328317
130380,202512,2025,12,8452,7143423.0,885.4,845.1754614292475
130390,202512,2025,12,7470,6253959.0,856.47,837.2100401606426
130395,202512,2025,12,2252,1637154.0,744.5,726.9777975133215
130400,202512,2025,12,2302,1720492.0,766.37,747.3900955690704
130406,202512,2025,12,10789,8519395.0,808.14,789.6371304106034
130410,202512,2025,12,4107,3128566.0,787.06,761.7643048453859
130420,202512,2025,12,13940,10901976.0,817.42,782.0642754662841
130423,202512,2025,12,3878,3115090.0,822.14,803.2723053120166
130426,202512,2025,12,3156,2370401.0,759.99,751.0776299112802
130430,202512,2025,12,3631,2557660.0,726.4,704.3954833379235
130440,202512,2025,12,4717,3473374.0,764.89,736.3523425906296
140002,202512,2025,12,1883,1455537.0,829.84,772.9883165161975
140005,202512,2025,12,2547,1931738.0,818.19,758.4365920691009
140010,202512,2025,12,36968,26370064.0,777.92,713.3213590132005
140015,202512,2025,12,3539,2968000.0,841.27,838.6549872845436
140017,202512,2025,12,3950,2929499.0,745.8,741.6453164556962
140020,202512,2025,12,3575,2613400.0,823.12,731.020979020979
140023,202512,2025,12,1986,1458529.0,735.15,734.4053373615308
140028,202512,2025,12,1264,895680.0,740.23,708.6075949367089
140030,202512,2025,12,4370,3096012.0,730.88,708.4695652173913
140040,202512,2025,12,2798,2479441.0,891.56,886.1476054324518
140045,202512,2025,12,3935,3139588.0,830.8,797.8622617534943
140047,202512,2025,12,3882,2790032.0,721.87,718.7099433281813
140050,202512,2025,12,1312,948349.0,723.38,722.826981707317
140060,202512,2025,12,1455,1012333.0,698.64,695.7615120274914
140070,202512,2025,12,2258,2293160.0,1039.04,1015.571302037201
150010,202512,2025,12,38163,26019991.0,683.41,681.8119906715929
150013,202512,2025,12,1342,937920.0,700.99,698.8971684053652
150020,202512,2025,12,13187,9478106.0,721.1,718.7461894289831
150030,202512,2025,12,8282,6749896.0,817.87,815.0079690895919
150034,202512,2025,12,2480,1717412.0,696.15,692.5048387096774
150040,202512,2025,12,11831,8861523.0,750.15,749.0087904657256
150050,202512,2025,12,6077,4457519.0,737.02,733.5064999177225
150060,202512,2025,12,12809,9222755.0,723.86,720.0214692794129
150070,202512,2025,12,6108,5119182.0,840.86,838.1110019646366
150080,202512,2025,12,47119,31371786.0,668.35,665.7990619495321
150085,202512,2025,12,5812,4256012.0,734.3,732.2801101169994
150090,202512,2025,12,10421,7388143.0,710.54,708.9667978121101
150095,202512,2025,12,5808,4081054.0,704.24,702.6608126721763
150100,202512,2025,12,2628,1984409.0,757.7,755.1023592085236
150110,202512,2025,12,5931,4745885.0,802.21,800.1829371100995
150120,202512,2025,12,7924,5576226.0,706.3,703.713528520949
150125,202512,2025,12,589,402769.0,683.82,683.8183361629881
150130,202512,2025,12,17592,12270570.0,701.06,697.5085266030013
150140,202512,2025,12,146598,97323363.0,667.84,663.8792002619408
150145,202512,2025,12,2553,1878216.0,739.16,735.689776733255
150150,202512,2025,12,10792,7272574.0,675.64,673.8856560415122
150157,202512,2025,12,2290,1640663.0,720.22,716.4467248908297
150160,202512,2025,12,3076,2046450.0,667.68,665.2958387516255
150170,202512,2025,12,23923,16632688.0,696.77,695.2592902227982
150172,202512,2025,12,2841,1944940.0,690.43,684.5969728968673
150175,202512,2025,12,1442,1028086.0,716.94,712.9583911234397
150178,202512,2025,12,8548,6058877.0,710.64,708.8063874590548
150180,202512,2025,12,23948,18780762.0,788.38,784.2309169868048
150190,202512,2025,12,6101,4311205.0,708.96,706.6390755613834
150195,202512,2025,12,4367,3085183.0,720.5,706.4765285092741
150200,202512,2025,12,5194,3642816.0,702.84,701.3507893723527
150210,202512,2025,12,32535,23016329.0,708.61,707.4328876594436
150215,202512,2025,12,9506,6713318.0,708.53,706.2190195665895
