codigo_ibge,ano,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
140010,2023,29754,215204428.0,724.81,722.23
140015,2023,4428,32445314.0,739.31,732.83
140017,2023,4375,31492741.0,732.37,720.3
140020,2023,4150,27186499.0,718.48,654.87
140023,2023,2056,15002022.0,733.62,729.57
140028,2023,1580,10788460.0,714.39,682.98
140030,2023,4942,33639085.0,698.82,680.88
140040,2023,2927,25643293.0,878.67,875.59
140045,2023,2674,22595541.0,844.97,844.17
140047,2023,4318,29670662.0,707.96,687.21
140050,2023,1305,9262633.0,720.6,710.05
140060,2023,1662,11495696.0,704.97,691.93
140070,2023,2148,20282270.0,943.74,943.65
150010,2023,43064,264172967.0,671.11,614.09
150013,2023,1666,11575805.0,695.71,695.3
150020,2023,13538,91340055.0,707.06,674.64
150030,2023,8392,57080582.0,772.2,679.58
150034,2023,3163,21530070.0,680.99,680.65
150040,2023,13814,97314334.0,721.14,704.76
150050,2023,7449,50723445.0,742.63,680.94
150060,2023,15634,110272164.0,709.43,705.24
150070,2023,8439,56183272.0,760.74,664.59
150080,2023,46344,310991506.0,675.04,671.08
150085,2023,8171,58035497.0,713.14,711.13
150090,2023,11956,84594312.0,708.76,707.71
150095,2023,6107,42477994.0,696.85,695.62
150100,2023,2638,19671798.0,761.34,744.94
150110,2023,4820,29548676.0,780.2,612.71
150120,2023,7712,35752849.0,686.61,463.47
150125,2023,534,3695382.0,693.31,692.53
150130,2023,17616,117976068.0,703.98,669.34
150140,2023,195042,1269448122.0,658.38,650.86
150145,2023,2578,18971487.0,737.96,735.57
150150,2023,12931,87097680.0,675.89,673.51
150157,2023,2464,17423521.0,710.31,707.24
150160,2023,3507,23364414.0,666.84,666.29
150170,2023,22590,158772457.0,704.52,702.76
150172,2023,4056,28059688.0,693.35,692.13
150175,2023,1556,10653341.0,704.92,684.88
150178,2023,8878,55499421.0,702.39,625.09
150180,2023,23888,166979594.0,762.31,699.09
150190,2023,7300,51359180.0,707.46,703.58
150195,2023,5207,35275732.0,710.03,677.49
150200,2023,5528,24403658.0,685.08,441.16
150210,2023,30574,158227001.0,687.43,517.25
150215,2023,7314,51485522.0,709.15,703.9
150220,2023,11237,75900764.0,676.12,675.38
150230,2023,11802,80735200.0,684.67,683.91
150240,2023,22861,154277227.0,675.78,674.86
150250,2023,4520,28501667.0,771.06,630.08
150260,2023,2645,17408210.0,694.69,658.57
150270,2023,3938,27267911.0,695.37,692.51
150275,2023,7268,51405160.0,708.39,707.3
150276,2023,1750,12678371.0,724.7,724.12
150277,2023,3765,26300465.0,699.11,698.54
150280,2023,7263,35566548.0,748.21,489.34
150285,2023,2970,16478794.0,720.87,554.49
150290,2023,10485,70890041.0,682.88,676.16
150293,2023,6631,44845104.0,682.86,676.3
150295,2023,3643,26285298.0,722.98,721.28
150300,2023,3033,20800526.0,693.48,686.44
150304,2023,3355,23030035.0,704.41,686.23
150307,2023,5127,35933246.0,700.98,700.76
150309,2023,4392,29305309.0,694.99,667.34
150310,2023,7327,44732872.0,775.82,610.05
150320,2023,7586,51028830.0,674.64,672.65
150330,2023,12758,77096310.0,701.46,603.91
150340,2023,1966,13754123.0,700.56,699.43
150345,2023,8286,58787805.0,710.75,709.7
150350,2023,8223,55965438.0,681.92,681.26
150360,2023,17411,124679702.0,718.56,715.99
150370,2023,8650,61670068.0,727.06,712.72
150375,2023,3808,32026766.0,845.44,841.18
150380,2023,8136,53405364.0,682.57,656.59
150390,2023,6702,53056711.0,808.28,789.95
150400,2023,6362,25878658.0,699.09,406.72
150405,2023,7006,48952923.0,699.08,698.76
150410,2023,1482,10257179.0,693.3,692.22
150420,2023,29002,207395690.0,716.68,714.75
150430,2023,7009,46376133.0,687.62,661.71
150440,2023,5621,38758432.0,693.2,689.67
150442,2023,22187,146711834.0,664.23,661.25
150445,2023,7046,49096048.0,697.98,697.11
150450,2023,6579,47003040.0,789.05,714.47
150460,2023,7769,36513144.0,713.23,469.8
150470,2023,17865,117202872.0,697.84,656.82
150475,2023,4066,29114180.0,716.68,716.05
150480,2023,12244,79501544.0,707.19,648.69
150490,2023,7465,29549384.0,707.98,396.65
150495,2023,5368,38125352.0,710.67,710.5
150497,2023,1706,11978094.0,722.35,702.13
150500,2023,2554,17061776.0,668.56,668.1
150503,2023,2820,20718534.0,736.62,734.12
150506,2023,10638,74622368.0,717.97,700.98
150510,2023,10467,68668751.0,722.53,655.7
150520,2023,8789,46458278.0,727.79,528.37
150530,2023,10963,82739905.0,757.98,753.76
150540,2023,4455,30273298.0,680.8,679.63
150543,2023,5214,37218073.0,714.88,713.93
150548,2023,9323,66565734.0,719.21,713.94
150549,2023,1544,10241745.0,700.84,664.02
150550,2023,12005,84150884.0,701.96,700.91
150553,2023,21610,153117696.0,713.07,708.38
150555,2023,1319,9336816.0,708.76,707.44
150560,2023,1503,9958226.0,667.77,662.55
150563,2023,1835,13135704.0,721.86,715.53
150565,2023,3840,27338747.0,712.56,711.93
150570,2023,6966,30173815.0,668.52,432.25
150580,2023,10229,80245351.0,826.71,783.28
150590,2023,7551,48985627.0,755.72,648.49
150600,2023,9774,60301659.0,714.0,617.08
150610,2023,2689,18260710.0,680.52,679.06
150611,2023,2832,18726464.0,677.94,661.04
150613,2023,8645,60758928.0,703.14,702.84
150616,2023,2079,14430738.0,695.51,693.9
150618,2023,5084,35520733.0,699.45,698.35
150619,2023,4910,34988168.0,712.97,712.54
150620,2023,5739,39667311.0,699.95,691.11
150630,2023,6380,32543757.0,663.58,510.09
150635,2023,3848,26193618.0,683.32,680.65
150640,2023,1924,9347419.0,692.35,485.09
150650,2023,8225,56308066.0,687.31,684.58
150655,2023,5093,34858214.0,685.46,684.48
150658,2023,2476,17494886.0,709.56,706.44
150660,2023,4205,28749627.0,683.85,683.64
150670,2023,7014,48008585.0,687.67,684.47
150680,2023,47616,339424461.0,730.25,712.53
150690,2023,1980,13147483.0,676.62,664.12
150700,2023,5539,38653977.0,700.74,697.8
150710,2023,3116,21444804.0,697.11,688.16
150715,2023,4085,28783201.0,707.19,704.58
150720,2023,7694,54028262.0,704.43,702.44
150730,2023,10693,76420631.0,716.81,714.46
150740,2023,3083,21027277.0,682.5,681.91
150745,2023,4276,29896053.0,706.05,699.04
150746,2023,1442,9894996.0,692.55,686.6
150747,2023,4627,31107419.0,693.33,672.36
150750,2023,2727,19633707.0,732.15,719.56
150760,2023,9259,65104380.0,705.03,703.06
150770,2023,6936,27821590.0,711.11,401.08
150775,2023,857,6118744.0,715.34,713.93
150780,2023,4451,29268491.0,725.26,657.78
150790,2023,4410,22200457.0,705.52,504.71
150795,2023,13616,95140997.0,711.36,698.67
150796,2023,3157,21568719.0,685.08,683.94
150797,2023,3699,25683166.0,714.28,694.13
150800,2023,11758,86148924.0,734.26,732.49
150803,2023,8099,55560634.0,686.58,686.15
150805,2023,2776,19818642.0,716.97,714.06
150808,2023,3076,21994647.0,716.24,714.9
150810,2023,12802,80899352.0,705.05,631.46
150812,2023,5605,38017012.0,681.67,678.19
150815,2023,7820,56281100.0,720.48,719.77
150820,2023,11103,74695877.0,680.75,672.9
150830,2023,12314,86211521.0,736.09,700.26
150835,2023,2905,19824786.0,717.67,681.98
150840,2023,5764,40237173.0,699.16,697.98
160005,2023,1093,7685153.0,706.04,703.54
160010,2023,2120,14161121.0,715.69,668.35
160015,2023,3437,24422752.0,714.7,711.38
160020,2023,2040,15033665.0,747.08,736.7
160021,2023,1010,7873623.0,805.0,779.75
160023,2023,1076,8080339.0,771.34,750.31
160025,2023,1925,13509072.0,736.29,702.33
160027,2023,9127,61519274.0,689.71,674.18
160030,2023,57949,409275681.0,716.05,706.42
160040,2023,5438,38449188.0,754.65,707.47
160050,2023,4360,32372312.0,745.17,741.18
160053,2023,3736,27195833.0,733.16,727.87
160055,2023,1542,9923779.0,689.98,643.79
